idna_subject,checker_type,destination,tested_at
113693url.displayadfeed.com,AVAILABILITY,domains.list,2021-09-15 02:54:10.332651
29773.v.fwmrm.net,AVAILABILITY,domains.list,2021-09-15 02:56:59.800391
a3.suntimes.com,AVAILABILITY,domains.list,2021-09-15 03:08:23.737755
ad-incisive.grapeshot.co.uk,AVAILABILITY,domains.list,2021-09-15 03:11:03.471793
ad.jamba.de,AVAILABILITY,domains.list,2021-09-15 03:18:47.067803
ad.jamba.it,AVAILABILITY,domains.list,2021-09-15 03:18:49.026819
ad.jamba.net,AVAILABILITY,domains.list,2021-09-15 03:18:50.383107
ad.jamster.ca,AVAILABILITY,domains.list,2021-09-15 03:18:52.173097
ad.jamster.co.uk,AVAILABILITY,domains.list,2021-09-15 03:18:53.596588
ad.jamster.com,AVAILABILITY,domains.list,2021-09-15 03:18:54.807409
adimages.omroepzeeland.nl,AVAILABILITY,domains.list,2021-09-15 04:16:12.856114
adnxs.revsci.net,AVAILABILITY,domains.list,2021-09-15 04:24:14.116532
ads.al.com,AVAILABILITY,domains.list,2021-09-15 04:31:21.178285
ads.bhmedianetwork.com,AVAILABILITY,domains.list,2021-09-15 04:34:13.790626
ads.bloomberg.com,AVAILABILITY,domains.list,2021-09-15 04:35:43.463110
ads.hollandsentinel.com,AVAILABILITY,domains.list,2021-09-15 04:54:56.664486
ads.intellicast.com,AVAILABILITY,domains.list,2021-09-15 04:57:11.764212
ads.ireport.com,AVAILABILITY,domains.list,2021-09-15 04:57:34.369118
ads.mgnetwork.com,AVAILABILITY,domains.list,2021-09-15 05:04:31.569511
ads.mic.com,AVAILABILITY,domains.list,2021-09-15 05:04:32.430899
ads.mobgold.com,AVAILABILITY,domains.list,2021-09-15 05:05:14.973534
ads.morningstar.com,AVAILABILITY,domains.list,2021-09-15 05:05:39.075077
ads.oregonlive.com,AVAILABILITY,domains.list,2021-09-15 05:10:38.043666
ads.profitsdeluxe.com,AVAILABILITY,domains.list,2021-09-15 05:16:34.649059
ads.silive.com,AVAILABILITY,domains.list,2021-09-15 05:22:12.760633
