subject,idna_subject,expiration_date,epoch
00fun.com,00fun.com,05-aug-2021,1628121600.0
0101011.com,0101011.com,06-jul-2021,1625529600.0
0427d7.se,0427d7.se,10-may-2023,1683676800.0
05tz2e9.com,05tz2e9.com,07-feb-2021,1612656000.0
0pn.ru,0pn.ru,23-apr-2021,1619136000.0
0stats.com,0stats.com,08-jun-2021,1623110400.0
0uk.net,0uk.net,19-mar-2021,1616112000.0
100webads.com,100webads.com,03-sep-2022,1662163200.0
101order.com,101order.com,14-aug-2021,1628899200.0
10bet.com,10bet.com,17-jul-2021,1626480000.0
10fbb07a4b0.se,10fbb07a4b0.se,02-aug-2021,1627862400.0
11zz.com,11zz.com,18-jun-2021,1623974400.0
123-tracker.com,123-tracker.com,14-may-2021,1620950400.0
123banners.com,123banners.com,10-apr-2025,1744243200.0
123count.com,123count.com,09-dec-2021,1639008000.0
123found.com,123found.com,26-jan-2021,1611619200.0
123greetings.com,123greetings.com,21-may-2025,1747785600.0
123stat.com,123stat.com,19-aug-2024,1724025600.0
138.com,138.com,09-jan-2028,1830988800.0
1800banners.com,1800banners.com,26-jun-2022,1656201600.0
180searchassistant.com,180searchassistant.com,11-mar-2021,1615420800.0
18access.com,18access.com,22-feb-2021,1613952000.0
18bet.com,18bet.com,02-feb-2021,1612224000.0
1adult.com,1adult.com,14-aug-2021,1628899200.0
1bet.com,1bet.com,10-apr-2021,1618012800.0
1bg.net,1bg.net,21-mar-2021,1616284800.0
1girl1pitcher.org,1girl1pitcher.org,01-jun-2021,1622505600.0
1guy1cock.com,1guy1cock.com,31-may-2021,1622419200.0
1man1jar.org,1man1jar.org,20-aug-2021,1629417600.0
1man2needles.com,1man2needles.com,29-jun-2021,1624924800.0
1phads.com,1phads.com,12-feb-2021,1613088000.0
1priest1nun.com,1priest1nun.com,16-may-2021,1621123200.0
1priest1nun.net,1priest1nun.net,16-may-2021,1621123200.0
1sexsex.com,1sexsex.com,30-may-2021,1622332800.0
1stlines.com,1stlines.com,29-aug-2021,1630195200.0
1vice.ag,1vice.ag,05-feb-2021,1612483200.0
1x1rank.com,1x1rank.com,09-jun-2021,1623196800.0
1x2plus.com,1x2plus.com,28-jan-2021,1611792000.0
1xbet.com,1xbet.com,01-sep-2029,1882915200.0
2000greetings.com,2000greetings.com,24-oct-2022,1666569600.0
2001positions.com,2001positions.com,03-mar-2021,1614729600.0
207.net,207.net,10-jul-2021,1625875200.0
21jewelry.com,21jewelry.com,25-apr-2021,1619308800.0
247realmedia.com,247realmedia.com,30-oct-2021,1635552000.0
24counter.com,24counter.com,30-jun-2022,1656547200.0
