idna_subject,checker_type,destination,source,tested_at,session_id
0.r.msn.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:41.522862,a5de8f3c52d83a7d40e51f11
005.free-counter.co.uk,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:41.645717,a5de8f3c52d83a7d40e51f11
006.free-counter.co.uk,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:41.761832,a5de8f3c52d83a7d40e51f11
006.freecounters.co.uk,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:41.886226,a5de8f3c52d83a7d40e51f11
007.free-counter.co.uk,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:42.004187,a5de8f3c52d83a7d40e51f11
008.free-counter.co.uk,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:42.122882,a5de8f3c52d83a7d40e51f11
008.free-counters.co.uk,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:42.244913,a5de8f3c52d83a7d40e51f11
00fun.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:42.365111,a5de8f3c52d83a7d40e51f11
0101011.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:42.485903,a5de8f3c52d83a7d40e51f11
011707160008.c.mystat-in.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:42.604901,a5de8f3c52d83a7d40e51f11
0427d7.se,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:42.725366,a5de8f3c52d83a7d40e51f11
0532a9.r.axf8.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:42.846640,a5de8f3c52d83a7d40e51f11
05tz2e9.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:42.967302,a5de8f3c52d83a7d40e51f11
061606084448.c.mystat-in.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:43.086985,a5de8f3c52d83a7d40e51f11
064bdf.r.axf8.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:43.234946,a5de8f3c52d83a7d40e51f11
070806142521.c.mystat-in.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:43.353395,a5de8f3c52d83a7d40e51f11
090906042103.c.mystat-in.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:43.472397,a5de8f3c52d83a7d40e51f11
092706152958.c.mystat-in.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:43.593925,a5de8f3c52d83a7d40e51f11
0d7292.r.axf8.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:43.761626,a5de8f3c52d83a7d40e51f11
0d79ed.r.axf8.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:43.881694,a5de8f3c52d83a7d40e51f11
0f36f3.r.axf8.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:43.999347,a5de8f3c52d83a7d40e51f11
0koryu0.easter.ne.jp,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:44.142964,a5de8f3c52d83a7d40e51f11
0pn.ru,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:44.262113,a5de8f3c52d83a7d40e51f11
0qizz.super-promo.hoxo.info,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:44.382139,a5de8f3c52d83a7d40e51f11
0stats.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:44.506072,a5de8f3c52d83a7d40e51f11
1.googlenews.xorg.pl,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:44.697267,a5de8f3c52d83a7d40e51f11
1.ofsnetwork.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:44.844558,a5de8f3c52d83a7d40e51f11
10.im.cz,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:44.989736,a5de8f3c52d83a7d40e51f11
100-100.ru,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:45.109776,a5de8f3c52d83a7d40e51f11
10006.hittail.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:45.255454,a5de8f3c52d83a7d40e51f11
100065.hittail.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:45.374740,a5de8f3c52d83a7d40e51f11
100webads.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:45.520805,a5de8f3c52d83a7d40e51f11
10168.hittail.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:45.640132,a5de8f3c52d83a7d40e51f11
1018d7.r.axf8.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:45.768598,a5de8f3c52d83a7d40e51f11
101com.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:45.888169,a5de8f3c52d83a7d40e51f11
101order.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:46.007589,a5de8f3c52d83a7d40e51f11
102.112.207.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:46.127837,a5de8f3c52d83a7d40e51f11
102.112.2o7.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:46.247074,a5de8f3c52d83a7d40e51f11
102.122.2o7.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:46.366444,a5de8f3c52d83a7d40e51f11
102106151057.c.mystat-in.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:46.490644,a5de8f3c52d83a7d40e51f11
103532.hittail.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:46.608847,a5de8f3c52d83a7d40e51f11
10394-127.ampxchange.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:46.729024,a5de8f3c52d83a7d40e51f11
10394-2468.ampxchange.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:46.847121,a5de8f3c52d83a7d40e51f11
10394-4254.ampxchange.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:46.968188,a5de8f3c52d83a7d40e51f11
104231.dtiblog.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:47.095241,a5de8f3c52d83a7d40e51f11
106242.hittail.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:47.215459,a5de8f3c52d83a7d40e51f11
108411.hittail.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:47.332018,a5de8f3c52d83a7d40e51f11
1097834592.rsc.cdn77.org,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:47.455995,a5de8f3c52d83a7d40e51f11
10best.us.intellitxt.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:47.571417,a5de8f3c52d83a7d40e51f11
10fbb07a4b0.se,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:47.687298,a5de8f3c52d83a7d40e51f11
10xhellometro.112.2o7.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:47.827714,a5de8f3c52d83a7d40e51f11
1105governmentinformationgroup.122.2o7.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:47.968615,a5de8f3c52d83a7d40e51f11
112.2o7.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:48.084639,a5de8f3c52d83a7d40e51f11
112006133326.c.mystat-in.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:48.200943,a5de8f3c52d83a7d40e51f11
113693url.displayadfeed.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:48.318013,a5de8f3c52d83a7d40e51f11
11zz.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:48.459184,a5de8f3c52d83a7d40e51f11
121807150325.c.mystat-in.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:48.599980,a5de8f3c52d83a7d40e51f11
121media.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:48.718810,a5de8f3c52d83a7d40e51f11
122.2o7.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:48.837182,a5de8f3c52d83a7d40e51f11
122907224924.c.mystat-in.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:48.953815,a5de8f3c52d83a7d40e51f11
123-tracker.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:49.071035,a5de8f3c52d83a7d40e51f11
123.fluxads.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:49.186977,a5de8f3c52d83a7d40e51f11
123.ichkoche.at,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:49.302834,a5de8f3c52d83a7d40e51f11
123count.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:49.418808,a5de8f3c52d83a7d40e51f11
123counter.mycomputer.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:49.535111,a5de8f3c52d83a7d40e51f11
123counter.superstats.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:49.651564,a5de8f3c52d83a7d40e51f11
123found.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:49.768177,a5de8f3c52d83a7d40e51f11
123go.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:49.885121,a5de8f3c52d83a7d40e51f11
123greetings.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:50.001755,a5de8f3c52d83a7d40e51f11
123stat.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:50.142439,a5de8f3c52d83a7d40e51f11
1262.hittail.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:50.258663,a5de8f3c52d83a7d40e51f11
1274.mediatraffic.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:50.375195,a5de8f3c52d83a7d40e51f11
1278725189.pub.ezanga.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:50.491202,a5de8f3c52d83a7d40e51f11
12877.hittail.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:50.607006,a5de8f3c52d83a7d40e51f11
13223.hittail.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:50.724099,a5de8f3c52d83a7d40e51f11
14.ca.enwebsearch.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:50.840787,a5de8f3c52d83a7d40e51f11
140cc.v.fwmrm.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:50.958178,a5de8f3c52d83a7d40e51f11
14228.hittail.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:51.075243,a5de8f3c52d83a7d40e51f11
1435575.fls.doubleclick.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:51.191942,a5de8f3c52d83a7d40e51f11
145-ct.c3tag.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:51.308601,a5de8f3c52d83a7d40e51f11
14713804a.l2m.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:51.425242,a5de8f3c52d83a7d40e51f11
148.xg4ken.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:51.542457,a5de8f3c52d83a7d40e51f11
1493361689.rsc.cdn77.org,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:51.659913,a5de8f3c52d83a7d40e51f11
15141.hittail.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:51.776965,a5de8f3c52d83a7d40e51f11
1559.stats.misstrends.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:51.893632,a5de8f3c52d83a7d40e51f11
15628.hittail.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:52.011097,a5de8f3c52d83a7d40e51f11
15694.hittail.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:52.128188,a5de8f3c52d83a7d40e51f11
15minadlt.hit.gemius.pl,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:52.245714,a5de8f3c52d83a7d40e51f11
15minlt.adocean.pl,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:52.361993,a5de8f3c52d83a7d40e51f11
16565.hittail.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:52.503146,a5de8f3c52d83a7d40e51f11
1687.ic-live.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:52.644584,a5de8f3c52d83a7d40e51f11
1703.ic-live.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:52.761607,a5de8f3c52d83a7d40e51f11
1800.stats.misstrends.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:52.878249,a5de8f3c52d83a7d40e51f11
180hits.de,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:52.994719,a5de8f3c52d83a7d40e51f11
180searchassistant.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:53.111500,a5de8f3c52d83a7d40e51f11
1839.ic-live.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:53.229094,a5de8f3c52d83a7d40e51f11
1867.stats.misstrends.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:53.369766,a5de8f3c52d83a7d40e51f11
19097.hittail.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:53.510554,a5de8f3c52d83a7d40e51f11
192.168.112.2o7.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:53.627905,a5de8f3c52d83a7d40e51f11
192.168.122.2o7.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:53.744179,a5de8f3c52d83a7d40e51f11
19500.hittail.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:53.863070,a5de8f3c52d83a7d40e51f11
19533.hittail.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:53.980944,a5de8f3c52d83a7d40e51f11
1au.cqcounter.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:54.098060,a5de8f3c52d83a7d40e51f11
1bb261.r.axf8.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:54.215878,a5de8f3c52d83a7d40e51f11
1bg.net,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:54.332558,a5de8f3c52d83a7d40e51f11
1bm.cqcounter.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:54.450791,a5de8f3c52d83a7d40e51f11
1ca.cqcounter.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:54.576154,a5de8f3c52d83a7d40e51f11
1cgi.hitbox.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:54.693381,a5de8f3c52d83a7d40e51f11
1de.cqcounter.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:54.810114,a5de8f3c52d83a7d40e51f11
1directory.ru,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:54.926549,a5de8f3c52d83a7d40e51f11
1empiredirect.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:55.043191,a5de8f3c52d83a7d40e51f11
1es.cqcounter.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:55.160040,a5de8f3c52d83a7d40e51f11
1fr.cqcounter.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:55.277641,a5de8f3c52d83a7d40e51f11
1gavcom.popunder.ru,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:55.394314,a5de8f3c52d83a7d40e51f11
1girl1pitcher.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:55.511851,a5de8f3c52d83a7d40e51f11
1girl1pitcher.org,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:55.628767,a5de8f3c52d83a7d40e51f11
1guy1cock.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:55.746183,a5de8f3c52d83a7d40e51f11
1in.cqcounter.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:55.862855,a5de8f3c52d83a7d40e51f11
1it.cqcounter.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:55.979767,a5de8f3c52d83a7d40e51f11
1jo.cqcounter.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:56.096716,a5de8f3c52d83a7d40e51f11
1man1jar.org,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:56.214467,a5de8f3c52d83a7d40e51f11
1man2needles.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:56.333207,a5de8f3c52d83a7d40e51f11
1nl.cqcounter.com,AVAILABILITY,domains.list,domains.list,2001-09-30 04:56:56.450912,a5de8f3c52d83a7d40e51f11
